f(x) = e + x^(sin(x)),
Input,Output
1,3.718281828
1.5,4.216759059
2,4.59641248
2.5,4.448719696
3,3.88598203
3.5,3.362673703
4,3.06851679
4.5,2.948142724
5,2.931950424
5.5,3.01864333
6,3.324421181
6.5,4.214083147
7,6.309304003
7.5,9.337511415
8,10.54319498
8.5,8.240696757
9,5.191491736
9.5,3.562632738
10,3.004026992
10.5,2.844657682
11,2.809193054
11.5,2.836153589
12,2.981878893
12.5,3.564049044
13,5.656217468
13.5,10.81939464
14,16.37551935
14.5,14.90136483
15,8.536605064
15.5,4.479303856
16,3.168403438
16.5,2.854242335
17,2.783903833
17.5,2.779553504
18,2.83238727
18.5,3.086426266
19,4.273015562
19.5,8.760096375
20,18.1270938
20.5,23.02292359
21,15.48979126
21.5,6.968683238
22,3.691292944
22.5,2.937689163
23,2.788698926
23.5,2.761093463
24,2.774530279
24.5,2.869118234
25,3.371382595
25.5,5.917397933
26,14.71327165
26.5,27.48490091
27,26.10244586
27.5,12.86765073
28,5.18456811
28.5,3.1908563
29,2.82531124
29.5,2.759667625
30,2.753000051
30.5,2.784772599
31,2.967990563
31.5,4.054322913
32,9.478798021
32.5,24.41075089
33,35.7081134
33.5,24.0255383
34,9.178972961
34.5,3.944041537
35,2.936482872
35.5,2.773979389
36,2.746890131
36.5,2.75330741
37,2.816186269
37.5,3.206550101
38,5.657272578
38.5,16.46884614
39,36.87378814
39.5,38.57078697
40,18.33953904
40.5,6.162835751
41,3.27313225
41.5,2.8203401
42,2.750809805
42.5,2.742159049
43,2.76206651
43.5,2.892079222
44,3.787563878
44.5,9.260863723
45,28.22909809
45.5,47.97416526
46,34.30144598
46.5,12.13978763
47,4.327542337
47.5,2.960463609
48,2.76937685
48.5,2.740469134
49,2.742714503
49.5,2.785244621
50,3.076570431
50.5,5.205994537
51,16.66472148
51.5,44.01612658
52,52.04204989
52.5,25.36360248
53,7.534256372
53.5,3.409514024
54,2.825917776
54.5,2.746997691
55,2.736481494
55.5,2.74905111
56,2.840808541
56.5,3.540080387
57,8.55072783
57.5,29.80169982
58,59.06380578
58.5,46.44467429
59,16.13260549
59.5,4.883926007
60,3.005360292
60.5,2.769546409
61,2.737125309
61.5,2.736560696
62,2.765607705
62.5,2.97824407
63,4.718741947
63.5,15.80638807
64,48.60981908
64.5,65.95826701
65,34.26605842
65.5,9.449994264
66,3.613005667
66.5,2.839600483
67,2.745682205
67.5,2.733157831
68,2.740904272
68.5,2.805543824
69,3.333356792
69.5,7.635378016
70,29.50405456
70.5,68.2373444
71,60.34818195
71.5,21.46545695
72,5.67925437
72.5,3.074492979
73,2.773103887
73.5,2.735376595
74,2.732687495
74.5,2.752602764
75,2.905731929
75.5,4.269956678
76,14.32589531
76.5,50.60863132
77,79.55795497
77.5,45.29440309
78,12.10461277
78.5,3.907952734
79,2.861910045
79.5,2.746017273
80,2.731121102
80.5,2.735534984
81,2.781068607
81.5,3.170343104
82,6.694421053
82.5,27.80037288
83,74.88999638
83.5,75.662328
84,28.47336435
84.5,6.807234494
85,3.175660982
85.5,2.779899865
86,2.734633835
86.5,2.730136712
87,2.743754147
87.5,2.853135755
88,3.890022181
88.5,12.56544202
89,50.20921515
89.5,91.96676364
90,58.57639779
90.5,15.74325825
91,4.331280176
91.5,2.895039583
92,2.747745986
92.5,2.729884842
93,2.731875062
93.5,2.763972083
94,3.046442458
94.5,5.829842823
95,25.17275251
95.5,78.64146204
96,91.78956174
96.5,37.49877248
97,8.396262712
97.5,3.321409795
98,2.790436934
98.5,2.734647194
99,2.728419721
99.5,2.737613823
100,2.815392894
