f(x) = e + x^(sin(x))
Input,Output
1.0,9.672248700445872
1.5,9.688598459202069
2.0,9.665358253191132
2.5,9.585290896714609
3.0,9.756165201783826
3.5,9.793084735394421
4.0,9.815161756350076
4.5,10.074669394182706
5.0,10.565664768312995
5.5,11.18744654173002
6.0,11.911950864274663
6.5,12.490590020386248
7.0,12.85457092903643
7.5,13.031437528057934
8.0,12.946269549275213
8.5,12.421414227417575
9.0,11.77208863220598
9.5,10.971800677552954
10.0,10.1436155507162
10.5,9.736150749675758
11.0,9.802586440121255
11.5,10.089739215995255
12.0,10.675500455414147
12.5,11.269819603712287
13.0,12.090950079978276
13.5,12.854704761202168
14.0,13.242478785482144
14.5,12.946325680379966
15.0,12.307431475853303
15.5,11.483122312207476
16.0,10.674055249248122
16.5,9.85420519884022
17.0,9.4675495386357
17.5,9.65779324509086
18.0,10.450016027030955
18.5,11.524001695988614
19.0,12.718568804057677
19.5,13.922825261174278
20.0,14.887414351010401
20.5,15.287612081519558
21.0,14.927575188479333
21.5,14.206519673288707
22.0,13.23600330143597
22.5,12.354406025986327
23.0,11.565888035526772
23.5,11.471254152938656
24.0,12.068924108528083
24.5,13.101155873116792
25.0,14.266213134646355
25.5,15.730285182978966
26.0,17.03090789191415
26.5,18.01093126111736
27.0,17.91234609889684
27.5,16.79410745240406
28.0,15.558716787320238
28.5,14.141490379367355
29.0,12.627071985451526
29.5,11.543459896138344
30.0,11.409125381881694
30.5,12.246310376093541
31.0,13.826021376683014
31.5,15.357247241148375
32.0,17.043956953550524
32.5,18.65414416335209
33.0,19.556014299788604
33.5,19.087242205574622
34.0,17.663577940724277
34.5,15.951974252390297
35.0,14.303290000672717
35.5,12.972104352396771
36.0,12.385037800223321
36.5,12.879916521521833
37.0,14.194562634286417
37.5,16.040054622582506
38.0,18.031740968734226
38.5,20.07584888013762
39.0,21.50729723629816
39.5,21.42305524117162
40.0,19.753029742090273
40.5,17.71029555185677
41.0,15.574669089386536
41.5,13.377009497407377
42.0,11.685438379598802
42.5,11.211018703677238
43.0,12.310688979622759
43.5,14.419163456425006
44.0,16.710904474117186
44.5,19.124208058532002
45.0,21.55481075908369
45.5,22.810783817643372
46.0,22.324374729555537
46.5,20.443847060067988
47.0,18.298228324754405
47.5,16.169138146285835
48.0,14.219081336133744
48.5,13.069202553307017
49.0,13.659789861880872
49.5,15.471756358226596
50.0,17.917369613220966
50.5,20.388963649995
51.0,22.85048689317022
51.5,24.878195042415463
52.0,25.220509726942133
52.5,23.381486067776507
53.0,20.770960909505423
53.5,18.171695542724084
54.0,15.738737061998703
54.5,13.882284078380243
55.0,13.219658899758725
55.5,14.439640264850198
56.0,16.95358103948727
56.5,19.805576942606628
57.0,22.584315460738008
57.5,25.31485639041162
58.0,26.894435581355417
58.5,26.430038655260994
59.0,24.038542260400156
59.5,21.171026180147027
60.0,18.282888793004243
60.5,15.837999340604844
61.0,14.126366848756023
61.5,14.137662531682029
62.0,15.871832536185504
62.5,18.66023432811133
63.0,21.657613519576483
63.5,24.764023960560802
64.0,27.059203475344674
64.5,27.779762074493025
65.0,26.1092749183106
65.5,23.057110911813037
66.0,19.822058068356455
66.5,16.806920494480448
67.0,14.360875567740006
67.5,13.68189202150275
68.0,14.988028892998065
68.5,18.043535668497245
69.0,21.82138836253975
69.5,25.532110506499855
70.0,28.97503360488432
70.5,31.14720383466233
71.0,30.807784344164276
71.5,27.989771982997524
72.0,24.171215745646712
72.5,20.32578083843558
73.0,16.91817538178396
73.5,14.618972519297232
74.0,14.637694024142645
74.5,16.59032941697723
75.0,20.002280997923624
75.5,24.029004920592705
76.0,28.010792185329773
76.5,31.50994870826356
77.0,33.02410218949956
77.5,31.186402432487586
78.0,27.714760343595117
78.5,23.86001538361332
79.0,19.845258050296987
79.5,16.550250901799306
80.0,14.855692246175854
80.5,15.526473244226967
81.0,18.40662597456151
81.5,22.35825917973602
82.0,26.62322098039894
82.5,30.904201900025306
83.0,33.96796354652062
83.5,34.09414153411133
84.0,31.313504774551436
84.5,27.482042283131626
85.0,23.33009205552856
85.5,19.28063454279698
86.0,16.260592254377553
86.5,15.674554417940195
87.0,17.672136292273105
87.5,21.569303570424882
88.0,26.10372961681573
88.5,30.803735694899327
89.0,34.983587231314054
89.5,37.113846158817566
90.0,35.373991782531434
90.5,31.53225144946713
91.0,26.966361597801484
91.5,22.31580752541502
92.0,18.064805202390612
92.5,15.692047009622797
93.0,16.142583974630764
93.5,19.33835308119459
94.0,23.667080250747734
94.5,28.292288218475928
95.0,32.79096716661901
95.5,36.404047786426084
96.0,36.87072886521746
96.5,33.799342078839565
97.0,29.36333527450538
97.5,24.666963798096997
98.0,20.045656338155556
98.5,15.570587962718212
99.0,12.056193428571435
99.5,9.352822854280689
100.0,8.376853346211679
