f(x) = e + x^(sin(x))
Input,Output
1.0,384.9864465570531
2.0,385.86457720905315
3.0,385.1541467590531
4.0,384.3366815190531
5.0,384.2001151530531
6.0,384.5925859100531
7.0,387.57746873205315
8.0,391.81135970905314
9.0,386.4596564650531
10.0,384.2721917210531
11.0,384.0773577830531
12.0,384.2500436220531
13.0,386.92438219705315
14.0,397.6436840790531
15.0,389.80476979305314
16.0,384.4365681670531
17.0,384.05206856205314
18.0,384.10055199905315
19.0,385.54118029105314
20.0,399.39525852905314
21.0,396.75795598905313
22.0,384.9594576730531
23.0,384.0568636550531
24.0,384.0426950080531
25.0,384.6395473240531
26.0,395.98143637905315
27.0,407.3706105890531
28.0,386.4527328390531
29.0,384.09347596905315
30.0,384.02116478005314
31.0,384.2361552920531
32.0,390.7469627500531
33.0,416.9762781290531
34.0,390.4471376900531
35.0,384.2046476010531
36.0,384.0150548600531
37.0,384.08435099805314
38.0,386.92543730705313
39.0,418.1419528690531
40.0,399.6077037690531
41.0,384.54129697905313
42.0,384.01897453405314
43.0,384.03023123905314
44.0,385.05572860705314
45.0,409.4972628190531
46.0,415.5696107090531
47.0,385.59570706605314
48.0,384.03754157905314
49.0,384.0108792320531
50.0,384.3447351600531
51.0,397.93288620905315
52.0,433.3102146190531
53.0,388.80242110105314
54.0,384.0940825050531
55.0,384.0046462230531
56.0,384.1089732700531
57.0,389.8188925590531
58.0,440.3319705090531
59.0,397.40077021905313
60.0,384.2735250210531
61.0,384.00529003805315
62.0,384.0337724340531
63.0,385.98690667605314
64.0,429.87798380905315
65.0,415.5342231490531
66.0,384.8811703960531
67.0,384.0138469340531
68.0,384.00906900105315
69.0,384.60152152105314
70.0,410.7722192890531
71.0,441.6163466790531
72.0,386.94741909905315
73.0,384.0412686160531
74.0,384.0008522240531
75.0,384.17389665805314
76.0,395.59406003905315
77.0,460.82611969905315
78.0,393.37277749905314
79.0,384.1300747740531
80.0,383.9992858310531
81.0,384.04923333605313
82.0,387.9625857820531
83.0,456.15816110905314
84.0,409.7415290790531
85.0,384.44382571105314
86.0,384.00279856405314
87.0,384.01191887605313
88.0,385.15818691005313
89.0,431.4773798790531
90.0,439.8445625190531
91.0,385.59944490505313
92.0,384.0159107150531
93.0,384.0000397910531
94.0,384.3146071870531
95.0,406.44091723905314
96.0,473.05772646905314
97.0,389.66442744105314
98.0,384.05860166305314
99.0,383.99658445005315
100.0,384.08355762305314
101.0,392.0403227090531
102.0,483.57496322905314
103.0,401.93273765905315
104.0,384.21097785705314
105.0,383.99737012405313
106.0,384.02012205605314
107.0,386.35778245005315
108.0,460.6545580890531
109.0,430.1238371890531
110.0,384.79868458905315
111.0,384.00349611305313
112.0,384.0014504850531
113.0,384.61809862805313
114.0,425.1611016290531
115.0,472.7544702590531
116.0,387.06663654105313
117.0,384.02390730805314
118.0,383.99568313305315
119.0,384.15593236805313
120.0,400.1001692490531
121.0,504.3008820290531
122.0,394.9637353890531
123.0,384.0958032440531
124.0,383.9946804890531
125.0,384.0375227590531
126.0,388.91935449605313
127.0,495.2166559290531
128.0,417.05215652905315
129.0,384.3769789390531
130.0,383.99725613505314
131.0,384.0055721740531
132.0,385.2823351630531
133.0,454.0600332490531
134.0,460.62634632905315
135.0,385.5290517760531
136.0,384.0070329380531
137.0,383.9961317880531
138.0,384.3115306660531
139.0,415.0113203390531
140.0,510.9619124290531
141.0,390.01946759405314
142.0,384.0407585400531
143.0,383.99349722505315
144.0,384.07358251505315
145.0,394.24224380905315
146.0,527.4398646290531
147.0,404.8790069490531
148.0,384.1708325760531
149.0,383.9940657150531
150.0,384.01426697505315
151.0,386.7437205950531
152.0,492.7189532290531
153.0,441.76097887905314
154.0,384.71850875205314
155.0,383.99866897405315
156.0,383.9980914760531
157.0,384.6552821590531
158.0,440.18747847905314
159.0,501.0053531290531
160.0,387.0318132720531
161.0,384.01462443805315
162.0,383.9933346550531
163.0,384.1504572300531
164.0,404.76824858905314
165.0,547.1410931290532
166.0,395.81575917905315
167.0,384.07414396705315
168.0,383.99248578005313
169.0,384.0320305640531
170.0,389.91821110605315
171.0,535.5949670290531
172.0,422.37729118905315
173.0,384.3238863600531
174.0,383.9944230290531
175.0,384.00240625405314
176.0,385.42814703505314
177.0,477.9151617290531
178.0,478.3736435790531
179.0,385.4296469850531
180.0,384.0020486370531
181.0,383.9941342100531
182.0,384.3203491140531
183.0,424.1058772790531
184.0,546.8356793290532
185.0,390.0937533950531
186.0,384.02946937805314
187.0,383.99187387705314
188.0,384.0693522050531
189.0,396.5830907090531
190.0,571.8050899290531
191.0,406.73774825905315
192.0,384.1411745220531
193.0,383.99224994305314
194.0,384.0111683150531
195.0,387.16741078605315
196.0,526.4302213290531
197.0,450.96713841905313
198.0,384.64294638805313
199.0,383.9958410650531
200.0,383.9962305640531
201.0,384.70664904705313
202.0,456.27637229905315
203.0,526.4187295290532
204.0,386.91614742305313
205.0,384.0086967070531
206.0,383.9920031440531
207.0,384.1510714820531
208.0,409.8006089290531
209.0,589.0782850290532
210.0,396.18041221905315
211.0,384.0586679880531
212.0,383.99120548805314
213.0,384.0292468640531
214.0,391.0075440570531
215.0,577.3446440290531
216.0,426.1479752490531
217.0,384.2796010160531
218.0,383.9926975270531
219.0,384.0005744850531
220.0,385.59734124405315
221.0,503.3819779290531
222.0,493.3481796290531
223.0,385.31869664505314
224.0,383.99881996605313
225.0,383.9929365930531
226.0,384.3368854330531
227.0,433.9706412190531
228.0,580.4951598290531
229.0,389.9934365430531
230.0,384.0215236850531
231.0,383.99087844705315
232.0,384.0681362270531
233.0,399.1462437690531
234.0,616.4807645290531
235.0,407.7882752790531
236.0,384.1178553230531
237.0,383.9911034600531
238.0,384.0094044300531
239.0,387.64192830305313
240.0,561.9615222290531
241.0,458.0820055490531
242.0,384.5729421610531
243.0,383.99397643805315
244.0,383.99507663805315
245.0,384.7705418440531
246.0,473.69217086905314
247.0,549.0186617290531
248.0,386.75581043005315
249.0,384.0045421180531
250.0,383.99115342605313
251.0,384.15559954205315
252.0,415.32665353905315
253.0,629.8427329290531
254.0,396.2039421190531
255.0,384.0468898600531
256.0,383.99037000005313
257.0,384.0279656210531
258.0,392.2190417090531
259.0,620.4178710290531
260.0,428.65538946905315
261.0,384.2418598490531
262.0,383.99153687605315
263.0,383.9994414380531
264.0,385.79250733505313
265.0,530.6784554290531
266.0,505.75333692905315
267.0,385.2049346250531
268.0,383.99655010305315
269.0,383.99215152105313
270.0,384.35966944205313
271.0,444.78306237905315
272.0,611.7748918290531
273.0,389.7808204890531
274.0,384.0155827710531
275.0,383.9902099800531
276.0,384.06886554605313
277.0,401.9936029890531
278.0,661.2382137290531
279.0,408.2198518090531
280.0,384.0988990440531
281.0,383.99031604505313
282.0,384.0084147580531
283.0,388.17816559105313
284.0,599.3948667290531
285.0,463.37076043905313
286.0,384.50881018205314
287.0,383.9926547790531
288.0,383.9943166340531
289.0,384.8469140710531
290.0,492.6347711290531
291.0,568.8352314290531
292.0,386.5718159570531
293.0,384.0014603010531
294.0,383.9905704280531
295.0,384.1631491520531
296.0,421.4511932390531
297.0,669.1692665290532
298.0,395.9841691290531
299.0,384.03758500505313
300.0,383.98978453605315
301.0,384.0276625870531
302.0,393.5796967290531
303.0,664.7055422290532
304.0,430.1223222890531
305.0,384.2093464860531
306.0,383.99070464005314
307.0,383.9987292150531
308.0,386.0168971390531
309.0,559.9602336290532
310.0,515.7723606290531
311.0,385.0932016440531
312.0,383.99486794105314
313.0,383.99160846205314
314.0,384.3882416900531
315.0,456.69312402905314
316.0,640.533354329053
317.0,389.49659593805313
318.0,384.01096737705313
319.0,383.98973358205313
320.0,384.0710535850531
321.0,405.18042703905314
322.0,705.8233434290531
323.0,408.17323018905313
324.0,384.08317987405314
325.0,383.9897439310531
326.0,384.0079347710531
327.0,388.7868584810531
328.0,638.7535430290532
329.0,467.0594504890531
330.0,384.4505288750531
331.0,383.9916713140531
332.0,383.99380188505313
333.0,384.9365023290531
334.0,513.2715181290531
335.0,585.9144735290531
336.0,386.3773684390531
337.0,383.9990861150531
338.0,383.9901510340531
339.0,384.17335122905314
340.0,428.2705573090531
341.0,706.8021680290531
342.0,395.5914406290531
343.0,384.03005447505313
344.0,383.98935369805315
345.0,384.0280794920531
346.0,395.11579992905314
347.0,710.0536027290532
348.0,430.73043246905314
349.0,384.1811714930531
350.0,383.9900807640531
351.0,383.99829756805315
352.0,386.2743838470531
353.0,591.3426073290532
354.0,523.5817375290532
355.0,384.9862695620531
356.0,383.99357487905314
357.0,383.99122072205313
358.0,384.4226330590531
359.0,469.83879869905314
360.0,666.6557585290532
361.0,389.1688727410531
362.0,384.0072868880531
363.0,383.98937979005314
364.0,384.0744689400531
365.0,408.76102187905315
366.0,749.9650005290531
367.0,407.7584133390531
368.0,384.0699770680531
369.0,383.98931122505314
370.0,384.00782561005315
371.0,389.4793939890531
372.0,680.0158539290532
373.0,469.3493827290531
374.0,384.39788844305315
375.0,383.9909135860531
376.0,383.9934529920531
377.0,385.04054616905313
378.0,535.7500225290531
379.0,600.3215018290531
380.0,386.18107898505315
381.0,383.9972073320531
382.0,383.98983968005314
383.0,384.1860975420531
384.0,435.87935874905315
385.0,742.4994732290531
386.0,395.0783816690531
387.0,384.02385779405313
388.0,383.9890252380531
389.0,384.0290818020531
390.0,396.8546981590531
391.0,756.2719198290531
392.0,430.63290104905315
393.0,384.1566737260531
394.0,383.9895975830531
395.0,383.9980688960531
396.0,386.56948373705313
397.0,624.9097621290531
398.0,529.3560370290531
399.0,384.88569435005314
400.0,383.9925539630531
401.0,383.9909396840531
402.0,384.4631689540531
403.0,484.35277072905313
404.0,690.0555723290531
405.0,388.81764396505315
406.0,384.00429627705313
407.0,383.9891092130531
408.0,384.07901143905315
409.0,412.79143285905315
410.0,793.3813518290531
411.0,407.0637251790531
412.0,384.05879064905315
413.0,383.9889740240531
414.0,384.00800995805315
415.0,390.2682454680531
416.0,723.1217365290531
417.0,470.4236681090531
418.0,384.35057391405314
419.0,383.99031435605315
420.0,383.9932240140531
421.0,385.16068636005315
422.0,560.2036185290531
423.0,612.1408566290531
424.0,385.98862611905315
425.0,383.99569064705315
426.0,383.9896038310531
427.0,384.2014337790531
428.0,444.3737650790531
429.0,776.0367819290532
430.0,394.4851950390531
431.0,384.0186970860531
432.0,383.9887681360531
433.0,384.0306005720531
434.0,398.8257609590531
435.0,803.1401565290531
436.0,429.96116226905315
437.0,384.1353311050531
438.0,383.98921394805313
439.0,383.99799769505313
440.0,386.9074092420531
441.0,660.7186737290531
442.0,533.2692461290532
443.0,384.7922740420531
444.0,383.99173132905315
445.0,383.9907360980531
446.0,384.51038830405315
447.0,500.36550392905315
