f(x) = e + x^(sin(x))
Input,Output
1.0,12.724809403109715
1.5,12.664927927558882
2.0,12.594416262072613
2.5,12.511851416317114
3.0,12.365423402475278
3.5,12.235950222246705
4.0,12.185911337967797
4.5,12.283599310171878
5.0,12.552005473396367
5.5,12.954973982906571
6.0,13.434485707845349
6.5,13.941803760784124
7.0,14.417730848988203
7.5,14.762815557171876
8.0,14.846730612580041
8.5,14.618358042539224
9.0,14.174320897049428
9.5,13.65272679037596
10.0,13.168997442335142
10.5,12.86946041680453
11.0,12.916770493090244
11.5,13.344090572171877
12.0,14.045032954641266
12.5,14.883857843784122
13.0,15.747821448967796
13.5,16.511875669192285
14.0,16.952442982171878
14.5,16.839401570375962
15.0,16.233275478253514
15.5,15.399585503008613
16.0,14.531125869457593
16.5,13.784856818416772
17.0,13.407461779580037
17.5,13.607097568580041
18.0,14.343594655580043
18.5,15.41081161049841
19.0,16.60160092206984
19.5,17.769348639661672
20.0,18.70111492080453
20.5,19.007598512110654
21.0,18.48780836733514
21.5,17.451060859661673
22.0,16.2564848497229
22.5,15.094995335926981
23.0,14.201075391233102
23.5,13.933024822722897
24.0,14.454920228375958
24.5,15.596030200600449
25.0,17.041959007559633
25.5,18.55761790325351
26.0,19.96474227482494
26.5,20.88759753390657
27.0,20.801716000273917
27.5,19.763609453212695
28.0,18.317486975171875
28.5,16.801044189518816
29.0,15.416610955212693
29.5,14.53580070749841
30.0,14.571358823049431
30.5,15.545783042845347
31.0,17.12657203045759
31.5,18.92931430666167
32.0,20.732309749314737
32.5,22.270146817416776
33.0,22.92534510166167
33.5,22.235579064171876
34.0,20.67883567402902
34.5,18.869712218131063
35.0,17.07563325339637
35.5,15.580538029661671
36.0,14.918190303539221
36.5,15.429062120233102
37.0,16.930567357743307
37.5,18.93321548327392
38.0,21.059108608988204
38.5,23.092141254722897
39.0,24.56904329631473
39.5,24.653467014600444
40.0,23.276000583926976
40.5,21.26519351145759
41.0,19.137612533784118
41.5,17.1308713382331
42.0,15.700572805294325
42.5,15.473159819090244
43.0,16.58637777211065
43.5,18.621768002273914
44.0,21.001707680049428
44.5,23.41324269668208
45.0,25.570099787886164
45.5,26.688234696518816
46.0,25.960353151845347
46.5,23.94521674411066
47.0,21.55373465639637
47.5,19.150884998988207
48.0,17.0445936709678
48.5,15.912552069539228
49.0,16.306841278559634
49.5,18.08587209439637
50.0,20.6050093002331
50.5,23.315904889580043
51.0,25.96029988788616
51.5,28.04098097476371
52.0,28.437449922539223
52.5,26.821784594069836
53.0,24.28481963466167
53.5,21.569422272478
54.0,18.952152873824936
54.5,16.93398263445759
55.0,16.349170188518816
55.5,17.498803413641266
56.0,19.927549968559635
56.5,22.857641654192285
57.0,25.858334480437183
57.5,28.636121281641266
58.0,30.31104366335555
58.5,29.687107817049426
59.0,27.279758513988206
59.5,24.330819092559633
60.0,21.33681229304943
60.5,18.614963613396366
61.0,16.946613996845347
61.5,17.120830017273917
62.0,19.088040788886165
62.5,22.083077134865757
63.0,25.35952415466167
63.5,28.600992451926977
64.0,31.314670266682082
64.5,32.15657391980453
65.0,30.418099931314735
65.5,27.394115487314735
66.0,24.10888565492698
66.5,20.89279073584535
67.0,18.259218174743303
67.5,17.228755165886163
68.0,18.310367368620856
68.5,21.064263559437183
69.0,24.518858222539222
69.5,28.092999286845345
70.0,31.48582103527391
70.5,33.78817070121269
71.0,33.41712609980453
71.5,30.694844696253508
72.0,27.211659666192283
72.5,23.6410663047433
73.0,20.3053763339882
73.5,18.045151701233102
74.0,17.899034340722896
74.5,19.958353153682083
75.0,23.383949297090243
75.5,27.208768824702485
76.0,31.033613884131057
76.5,34.392514446253514
77.0,35.798087709375956
77.5,34.068048761049425
78.0,30.601784300926976
78.5,26.762330459743307
79.0,22.959289833131063
79.5,19.69393307321269
80.0,18.137226459090247
80.5,19.046003867743305
81.0,22.04784758970249
81.5,25.999477033498408
82.0,30.13354703941678
82.5,34.130862157437186
83.0,37.10768335953922
83.5,37.139528260110644
84.0,34.19484702290657
84.5,30.202042153845348
85.0,26.067535688865757
85.5,22.124548880212693
86.0,19.229395468967798
86.5,18.666851626090246
87.0,20.716677594355552
87.5,24.5199337249882
88.0,28.87621787635555
88.5,33.27173120558004
89.0,37.27525520680452
89.5,39.341868073478
90.0,37.76629689151882
90.5,33.911976999661675
91.0,29.533242416069836
91.5,25.154924530967786
92.0,21.25155961576371
92.5,19.09740719215147
93.0,19.729765119682078
93.5,22.89277174100861
94.0,27.309752165110655
94.5,31.991462857151472
95.0,36.58056194641677
95.5,40.257093316437185
96.0,40.83552757680452
96.5,37.77903071849841
97.0,33.30518126827391
97.5,28.60329304361065
98.0,23.88245734345555
98.5,19.222609805598406
99.0,15.625826663900789
99.5,12.759274331781265
100.0,11.639872544923406
