f(x) = e + .5x^(sin(x))
Input,Output
1.0,3.2763560897848274
2.0,3.2507261498174893
3.0,3.6250967224462434
4.0,4.408023256151084
5.0,4.662141770860944
6.0,3.9319848865635096
7.0,3.352483419231428
8.0,3.221983615096089
9.0,3.4698008444205235
10.0,4.1763125424150855
11.0,4.71826825190159
12.0,4.168804573489101
13.0,3.4656199201368
14.0,3.221547690555384
15.0,3.355435007441858
16.0,3.9391465211856973
17.0,4.6654769948187
18.0,4.401225915966767
19.0,3.619609001361729
20.0,3.24938157618997
21.0,3.278221910713925
22.0,3.7244359477951594
23.0,4.5160667128523855
24.0,4.591577158170813
25.0,3.814360802374898
26.0,3.3077319111482186
27.0,3.233631683733507
28.0,3.5470808538852596
29.0,4.30234940710103
30.0,4.701758767572735
31.0,4.041487795321789
32.0,3.4006268520371
33.0,3.218312376351252
34.0,3.4112770520596696
35.0,4.063819393918639
36.0,4.7069173102502475
37.0,4.280437397818881
38.0,3.5325813282917773
39.0,3.2309881580631306
40.0,3.314902901051703
41.0,3.8345028090669526
42.0,4.605840577280642
43.0,4.498155370021107
44.0,3.7060867589746027
45.0,3.2727192251906274
46.0,3.2535046924417586
47.0,3.6361932702761686
48.0,4.421489863922509
49.0,4.655186099997919
50.0,3.9177333538016743
51.0,3.3466886837345466
52.0,3.222937897220509
53.0,3.4782836860080564
54.0,4.191314111461986
55.0,4.7179424554634135
56.0,4.15377951161527
57.0,3.457378634690416
58.0,3.22075809211262
59.0,3.361447358180883
60.0,3.953538305976334
61.0,4.6718583541344225
62.0,4.387509447390059
63.0,3.6087551534296347
64.0,3.24678131013504
65.0,3.2820489780910562
66.0,3.7368560806991913
67.0,4.527692617454772
68.0,4.581669276978663
69.0,3.8010953541089827
70.0,3.303119974197192
71.0,3.235536023836394
72.0,3.5569526897872197
73.0,4.316840789069121
74.0,4.697795814306801
75.0,4.026661850095747
76.0,3.393718475726039
77.0,3.2184481564813634
78.0,3.418570446354595
79.0,4.078758924531485
80.0,4.709827622767191
81.0,4.265726679208543
82.0,3.523120324752745
83.0,3.229366964477503
84.0,3.319853976933163
85.0,3.8480882611333946
86.0,4.614938365881143
87.0,4.485913684645556
88.0,3.694044161221716
89.0,3.2692078815650603
90.0,3.256403135317377
91.0,3.647450545740265
92.0,4.4347773219327795
93.0,4.647855518630947
94.0,3.9035816093567344
95.0,3.34103755385329
96.0,3.224002359443735
97.0,3.486928381531074
98.0,4.206289404694979
99.0,4.71718256936753
100.0,4.138749149032918
